date,value_eur
2024-07-17,304.02 
2024-07-18,305.02 
2024-07-19,306.02 
2024-07-20,307.02 
2024-07-21,307.02 
2024-07-22,307.02 
2024-07-23,307.21 
2024-07-24,308.21 
2024-07-25,309.21 
2024-07-26,309.21 
2024-07-27,309.21 
2024-07-28,308.98 
2024-07-29,314.38 
2024-07-30,316.79 
2024-07-31,316.75 
2024-08-01,318.93 
2024-08-02,323.93 
2024-08-03,325.93 
2024-08-04,326.93 
2024-08-05,328.49 
2024-08-06,328.29 
2024-08-07,328.09 
2024-08-08,327.80 
2024-08-09,327.60 
2024-08-10,327.40 
2024-08-11,327.20 
2024-08-12,327.00 
2024-08-13,326.95 
2024-08-14,326.90 
2024-08-15,326.40 
2024-08-16,325.90 
2024-08-17,325.30 
2024-08-18,324.90 
2024-08-19,324.74 
2024-08-20,318.74 
2024-08-21,314.74 
2024-08-22,312.60 
2024-08-23,311.60 
2024-08-24,310.60 
2024-08-25,309.87 
2024-08-26,310.87 
2024-08-27,311.61 
2024-08-28,314.61 
2024-08-29,317.61 
2024-08-30,320.61 
2024-08-31,323.61 
2024-09-01,326.61 
2024-09-02,327.21 
2024-09-03,326.21 
2024-09-04,325.70 
2024-09-05,325.31 
2024-09-06,325.71 
2024-09-07,326.11 
2024-09-08,326.51 
2024-09-09,326.91 
2024-09-10,327.31 
2024-09-11,327.71 
2024-09-12,328.11 
2024-09-13,328.51 
2024-09-14,328.91 
2024-09-15,329.31 
2024-09-16,329.71 
2024-09-17,330.11 
2024-09-18,330.51 
2024-09-19,330.91 
2024-09-20,331.31 
2024-09-21,331.71 
2024-09-22,332.11 
2024-09-23,332.51 
2024-09-24,332.55 
2024-09-25,333.55 
2024-09-26,334.55 
2024-09-27,334.38 
2024-09-28,334.38 
2024-09-29,334.38 
2024-09-30,334.38 
2024-10-01,334.38 
2024-10-02,334.83 
2024-10-03,333.83 
2024-10-04,332.83 
2024-10-05,330.83 
2024-10-06,328.83 
2024-10-07,327.40 
2024-10-08,330.21 
2024-10-09,333.90 
2024-10-10,336.63 
2024-10-11,338.53 
2024-10-12,338.03 
2024-10-13,337.53 
2024-10-14,337.00 
2024-10-15,336.80 
2024-10-16,337.80 
2024-10-17,338.80 
2024-10-18,338.11 
2024-10-19,338.11 
2024-10-20,338.11 
2024-10-21,338.11 
2024-10-22,338.11 
2024-10-23,338.11 
2024-10-24,338.11 
2024-10-25,338.11 
2024-10-26,338.11 
2024-10-27,339.11 
2024-10-28,339.75 
2024-10-29,339.75 
2024-10-30,339.75 
2024-10-31,335.15 
2024-11-01,337.00 
2024-11-02,340.60 
2024-11-03,340.39 
2024-11-04,341.39 
2024-11-05,342.39 
2024-11-06,343.39 
2024-11-07,344.39 
2024-11-08,345.34 
2024-11-09,347.34 
2024-11-10,350.34 
2024-11-11,352.67 
2024-11-12,355.00 
2024-11-13,357.02 
2024-11-14,356.09 
2024-11-15,357.09 
2024-11-16,358.09 
2024-11-17,358.74 
2024-11-18,358.74 
